,chr,start,end,name,strand,intronlength
2452,chr1,881666.0,881781.0,SJ536_g3c=1_C=1_R1=286_R2=412,-,115.0
2717,chr1,982834.0,982952.0,SJ611_g3c=1_C=1_R1=57_R2=99,+,118.0
2744,chr1,987025.0,987107.0,SJ624_g3c=1_C=1_R1=67_R2=55,+,82.0
3138,chr1,1231318.0,1231394.0,SJ721_g3c=1_C=1_R1=45_R2=89,-,76.0
3148,chr1,1233313.0,1233392.0,SJ725_g3c=1_C=1_R1=48_R2=113,-,79.0
3237,chr1,1247881.0,1247972.0,SJ765_g3c=1_C=1_R1=114_R2=177,-,91.0
3255,chr1,1248329.0,1248414.0,SJ767_g3c=1_C=1_R1=251_R2=250,-,85.0
3392,chr1,1273563.0,1273648.0,SJ799_g3c=1_C=1_R1=178_R2=342,-,85.0
3396,chr1,1273816.0,1273901.0,SJ801_g3c=1_C=1_R1=153_R2=254,-,85.0
3475,chr1,1309282.0,1309379.0,SJ828_g3c=1_C=1_R1=606_R2=697,-,97.0
5510,chr1,3551638.0,3551723.0,SJ1383_g3c=1_C=1_R1=287_R2=359,-,85.0
6676,chr1,6697400.0,6697506.0,SJ1761_g3c=1_C=1_R1=166_R2=273,-,106.0
9263,chr1,11199492.0,11199589.0,SJ2501_g3c=1_C=1_R1=63_R2=80,-,97.0
9342,chr1,11307790.0,11307875.0,SJ2538_g3c=1_C=1_R1=97_R2=127,-,85.0
10001,chr1,12058935.0,12059044.0,SJ2735_g3c=1_C=1_R1=377_R2=545,+,109.0
11125,chr1,16059024.0,16059106.0,SJ3062_g3c=1_C=1_R1=126_R2=234,+,82.0
11276,chr1,16271334.0,16271431.0,SJ3102_g3c=1_C=1_R1=66_R2=83,-,97.0
11433,chr1,16531920.0,16532032.0,SJ3155_g3c=1_C=1_R1=181_R2=248,-,112.0
11651,chr1,16774469.0,16774554.0,SJ3213_g3c=1_C=1_R1=456_R2=393,+,85.0
12802,chr1,19525174.0,19525292.0,SJ3608_g3c=1_C=1_R1=64_R2=82,-,118.0
14182,chr1,22159877.0,22159959.0,SJ4098_g3c=1_C=1_R1=45_R2=126,-,82.0
15352,chr1,24123432.0,24123523.0,SJ4448_g3c=1_C=1_R1=431_R2=483,-,91.0
16793,chr1,26609060.0,26609139.0,SJ4883_g3c=1_C=1_R1=92_R2=211,-,79.0
17323,chr1,27269267.0,27269361.0,SJ5046_g3c=1_C=1_R1=203_R2=277,+,94.0
20173,chr1,32691921.0,32692003.0,SJ5913_g3c=1_C=1_R1=3577_R2=2863,+,82.0
20754,chr1,33138127.0,33138242.0,SJ6055_g3c=1_C=1_R1=921_R2=1095,+,115.0
20758,chr1,33138300.0,33138391.0,SJ6057_g3c=1_C=1_R1=734_R2=963,+,91.0
21002,chr1,33361040.0,33361155.0,SJ6136_g3c=1_C=1_R1=50_R2=86,-,115.0
21603,chr1,35656194.0,35656294.0,SJ6304_g3c=1_C=1_R1=864_R2=1257,-,100.0
21716,chr1,35847034.0,35847146.0,SJ6339_g3c=1_C=1_R1=457_R2=430,+,112.0
23054,chr1,38158250.0,38158347.0,SJ6783_g3c=1_C=1_R1=116_R2=85,+,97.0
23355,chr1,38435136.0,38435242.0,SJ6875_g3c=1_C=1_R1=1098_R2=787,-,106.0
23477,chr1,38484824.0,38484924.0,SJ6912_g3c=1_C=1_R1=634_R2=347,+,100.0
23877,chr1,39907992.0,39908083.0,SJ7046_g3c=1_C=1_R1=102_R2=97,+,91.0
23978,chr1,40029413.0,40029507.0,SJ7082_g3c=1_C=1_R1=124_R2=158,-,94.0
25499,chr1,43305849.0,43305940.0,SJ7566_g3c=1_C=1_R1=100_R2=46,+,91.0
25773,chr1,43826060.0,43826169.0,SJ7631_g3c=1_C=1_R1=582_R2=995,+,109.0
26289,chr1,44432313.0,44432395.0,SJ7866_g3c=1_C=1_R1=92_R2=130,+,82.0
26808,chr1,45221655.0,45221746.0,SJ8032_g3c=1_C=1_R1=979_R2=743,+,91.0
27348,chr1,45475154.0,45475239.0,SJ8183_g3c=1_C=1_R1=240_R2=235,-,85.0
27354,chr1,45475793.0,45475872.0,SJ8186_g3c=1_C=1_R1=240_R2=243,-,79.0
27409,chr1,45478887.0,45478963.0,SJ8206_g3c=1_C=1_R1=1527_R2=1749,+,76.0
27715,chr1,45808674.0,45808753.0,SJ8288_g3c=1_C=1_R1=51_R2=59,+,79.0
28516,chr1,46655029.0,46655129.0,SJ8529_g3c=1_C=1_R1=49_R2=66,-,100.0
28618,chr1,46726283.0,46726398.0,SJ8571_g3c=1_C=1_R1=48_R2=115,+,115.0
28646,chr1,46743652.0,46743743.0,SJ8585_g3c=1_C=1_R1=141_R2=305,+,91.0
28658,chr1,46744756.0,46744853.0,SJ8586_g3c=1_C=1_R1=129_R2=264,-,97.0
31071,chr1,53736825.0,53736898.0,SJ9343_g3c=1_C=1_R1=183_R2=298,-,73.0
31196,chr1,54262477.0,54262571.0,SJ9384_g3c=1_C=1_R1=430_R2=318,-,94.0
32162,chr1,58999732.0,58999829.0,SJ9709_g3c=1_C=1_R1=160_R2=112,-,97.0
33069,chr1,65855132.0,65855229.0,SJ10072_g3c=1_C=1_R1=621_R2=471,+,97.0
35024,chr1,78429847.0,78429938.0,SJ10688_g3c=1_C=1_R1=1020_R2=728,-,91.0
36162,chr1,90470597.0,90470691.0,SJ11052_g3c=1_C=1_R1=195_R2=252,+,94.0
37739,chr1,97278484.0,97278584.0,SJ11608_g3c=1_C=1_R1=55_R2=55,+,100.0
37919,chr1,100382053.0,100382153.0,SJ11683_g3c=1_C=1_R1=83_R2=52,+,100.0
40161,chr1,110171857.0,110171948.0,SJ12451_g3c=1_C=1_R1=141_R2=319,+,91.0
40210,chr1,110200293.0,110200393.0,SJ12466_g3c=1_C=1_R1=97_R2=144,+,100.0
40287,chr1,110280189.0,110280277.0,SJ12508_g3c=1_C=1_R1=78_R2=94,-,88.0
40437,chr1,110581928.0,110582016.0,SJ12562_g3c=1_C=1_R1=136_R2=130,+,88.0
47627,chr1,145439665.0,145439777.0,SJ14462_g3c=1_C=1_R1=1195_R2=884,+,112.0
47640,chr1,145439925.0,145440037.0,SJ14464_g3c=1_C=1_R1=1190_R2=770,+,112.0
